fight_id,fighter_a,fighter_b,predicted_prob_a,outcome_a,raw_delta,fight_date,close_flag,asof_frozen
serghei-spivac-ante-delija,Ante Delija,Serghei Spivac,0.6700,0,0.200427,2026-02-21,0,1
jacobe-smith-josiah-harrell,Jacobe Smith,Josiah Harrell,0.5000,1,0.000000,2026-02-21,1,0
michel-pereira-zach-reese,Zach Reese,Michel Pereira,0.4900,0,-0.008368,2026-02-21,1,1
carlos-leal-chidi-njokuani,Chidi Njokuani,Carlos Leal,0.5000,0,0.004483,2026-02-21,1,1
alden-coria-luis-gurule,Alden Coria,Luis Gurule,0.7800,1,0.356305,2026-02-21,0,0
joselyne-edwards-nora-cornolle,Joselyne Edwards,Nora Cornolle,0.5500,1,0.058557,2026-02-21,1,1
punahele-soriano-ramiz-brahimaj,Ramiz Brahimaj,Punahele Soriano,0.3600,0,-0.166472,2026-02-21,0,1
jean-paul-lebosnoyani-phil-rowe,Phil Rowe,Jean-Paul Lebosnoyani,0.5000,0,0.000000,2026-02-21,1,0
jordan-leavitt-yadier-del-valle,Jordan Leavitt,Yadier del Valle,0.2800,1,-0.272138,2026-02-21,0,1
carli-judice-juliana-miller,Juliana Miller,Carli Judice,0.3400,0,-0.183252,2026-02-21,0,1
arman-tsarukyan-dan-hooker,Dan Hooker,Arman Tsarukyan,0.4000,0,-0.116502,2025-11-22,1,1
ian-machado-garry-belal-muhammad,Ian Machado Garry,Belal Muhammad,0.5300,1,0.036834,2025-11-22,1,1
volkan-oezdemir-alonzo-menifield,Alonzo Menifield,Volkan Oezdemir,0.4300,0,-0.077825,2025-11-22,1,1
myktybek-orolbai-jack-hermansson,Myktybek Orolbai,Jack Hermansson,0.4500,1,-0.059792,2025-11-22,1,1
waldo-cortes-acosta-shamil-gaziev,Waldo Cortes Acosta,Shamil Gaziev,0.7000,1,0.247066,2025-11-22,0,1
kyoji-horiguchi-tagir-ulanbekov,Tagir Ulanbekov,Kyoji Horiguchi,0.4700,0,-0.031266,2025-11-22,1,1
luke-riley-bogdan-grad,Luke Riley,Bogdan Grad,0.5000,1,0.000000,2025-11-22,1,0
nicolas-dalby-saygid-izagakhmaev,Saygid Izagakhmaev,Nicolas Dalby,0.5000,0,0.000000,2025-11-22,1,0
asu-almabayev-alex-perez,Asu Almabayev,Alex Perez,0.4900,1,-0.010351,2025-11-22,1,1
abdul-rakhman-yakhyaev-rafael-cerqueira,Abdul Rakhman Yakhyaev,Rafael Cerqueira,0.9100,1,0.663516,2025-11-22,0,0
aleksandre-topuria-bekzat-almakhan,Bekzat Almakhan,Aleksandre Topuria,0.1600,0,-0.463750,2025-11-22,0,0
ismail-naurdiev-ryan-loder,Ismail Naurdiev,Ryan Loder,0.4800,1,-0.024560,2025-11-22,1,1
nurullo-aliev-shem-rock,Shem Rock,Nurullo Aliev,0.5000,0,0.000000,2025-11-22,1,0
denzel-freeman-marek-bujlo,Marek Bujlo,Denzel Freeman,0.5000,0,0.000000,2025-11-22,1,0
topuria-gaethje,Justin Gaethje,Ilia Topuria,0.3500,1,-0.180120,2026-06-14,0,1
pereira-gane,Alex Pereira,Ciryl Gane,0.4000,0,-0.114316,2026-06-14,1,1
o-malley-zahabi,Sean O'Malley,Aiemann Zahabi,0.5600,1,0.064526,2026-06-14,1,1
hokit-lewis,Josh Hokit,Derrick Lewis,0.7200,1,0.265990,2026-06-14,0,1
ruffy-chandler,Mauricio Ruffy,Michael Chandler,0.6100,1,0.133311,2026-06-14,0,1
nickal-daukaus,Kyle Daukaus,Bo Nickal,0.3300,0,-0.197807,2026-06-14,0,1
lopes-garcia,Steve Garcia,Diego Lopes,0.7400,0,0.293444,2026-06-14,0,1
kape-horiguchi,Manel Kape,Kyoji Horiguchi,0.4400,1,-0.074592,2026-06-20,1,1
cutelaba-stirling,Ion Cutelaba,Navajo Stirling,0.3300,0,-0.208112,2026-06-20,0,1
oliveira-fili,Vinicius Oliveira,Andre Fili,0.6400,1,0.162856,2026-06-20,0,1
